Filename,Name,Type1
479-fan.png,rotom-fan,electric
479-frost.png,rotom-frost,electric
479-heat.png,rotom-heat,electric
479-mow.png,rotom-mow,electric
479-wash.png,rotom-wash,electric
479.png,rotom,electric
48.png,venonat,bug
480.png,uxie,psychic
481.png,mesprit,psychic
482.png,azelf,psychic
483.png,dialga,steel
484.png,palkia,water
485.png,heatran,fire
486.png,regigigas,normal
488.png,cresselia,psychic
489.png,phione,water
49.png,venomoth,bug
490.png,manaphy,water
491.png,darkrai,dark
494.png,victini,psychic
495.png,snivy,grass
496.png,servine,grass
497.png,serperior,grass
498.png,tepig,fire
499.png,pignite,fire
5.png,charmeleon,fire
50.png,diglett,ground
500.png,emboar,fire
501.png,oshawott,water
502.png,dewott,water
503.png,samurott,water
504.png,patrat,normal
505.png,watchog,normal
506.png,lillipup,normal
507.png,herdier,normal
508.png,stoutland,normal
509.png,purrloin,dark
51.png,dugtrio,ground
510.png,liepard,dark
511.png,pansage,grass
512.png,simisage,grass
513.png,pansear,fire
514.png,simisear,fire
515.png,panpour,water
516.png,simipour,water
517.png,munna,psychic
518.png,musharna,psychic
519.png,pidove,normal
52.png,meowth,normal
520.png,tranquill,normal
521.png,unfezant,normal
522.png,blitzle,electric
523.png,zebstrika,electric
524.png,roggenrola,rock
525.png,boldore,rock
526.png,gigalith,rock
527.png,woobat,psychic
528.png,swoobat,psychic
529.png,drilbur,ground
53.png,persian,normal
530.png,excadrill,ground
531-mega.png,audino-mega,normal
531.png,audino,normal
532.png,timburr,fighting
533.png,gurdurr,fighting
534.png,conkeldurr,fighting
535.png,tympole,water
536.png,palpitoad,water
537.png,seismitoad,water
538.png,throh,fighting
539.png,sawk,fighting
54.png,psyduck,water
540.png,sewaddle,bug
541.png,swadloon,bug
542.png,leavanny,bug
543.png,venipede,bug
544.png,whirlipede,bug
545.png,scolipede,bug
546.png,cottonee,grass
547.png,whimsicott,grass
548.png,petilil,grass
549.png,lilligant,grass
55.png,golduck,water
551.png,sandile,ground
552.png,krokorok,ground
553.png,krookodile,ground
554.png,darumaka,fire
556.png,maractus,grass
557.png,dwebble,bug
558.png,crustle,bug
559.png,scraggy,dark
56.png,mankey,fighting
560.png,scrafty,dark
561.png,sigilyph,psychic
562.png,yamask,ghost
563.png,cofagrigus,ghost
564.png,tirtouga,water
565.png,carracosta,water
566.png,archen,rock
567.png,archeops,rock
568.png,trubbish,poison
569.png,garbodor,poison
57.png,primeape,fighting
570.png,zorua,dark
571.png,zoroark,dark
572.png,minccino,normal
573.png,cinccino,normal
574.png,gothita,psychic
575.png,gothorita,psychic
576.png,gothitelle,psychic
577.png,solosis,psychic
578.png,duosion,psychic
579.png,reuniclus,psychic
58.png,growlithe,fire
580.png,ducklett,water
581.png,swanna,water
582.png,vanillite,ice
583.png,vanillish,ice
584.png,vanilluxe,ice
587.png,emolga,electric
588.png,karrablast,bug
589.png,escavalier,bug
59.png,arcanine,fire
590.png,foongus,grass
591.png,amoonguss,grass
592.png,frillish,water
593.png,jellicent,water
594.png,alomomola,water
595.png,joltik,bug
596.png,galvantula,bug
597.png,ferroseed,grass
598.png,ferrothorn,grass
599.png,klink,steel
6-mega-x.png,charizard-mega-x,fire
6-mega-y.png,charizard-mega-y,fire
6.png,charizard,fire
60.png,poliwag,water
600.png,klang,steel
601.png,klinklang,steel
602.png,tynamo,electric
603.png,eelektrik,electric
604.png,eelektross,electric
605.png,elgyem,psychic
606.png,beheeyem,psychic
607.png,litwick,ghost
608.png,lampent,ghost
609.png,chandelure,ghost
61.png,poliwhirl,water
610.png,axew,dragon
611.png,fraxure,dragon
612.png,haxorus,dragon
613.png,cubchoo,ice
614.png,beartic,ice
615.png,cryogonal,ice
616.png,shelmet,bug
617.png,accelgor,bug
618.png,stunfisk,ground
619.png,mienfoo,fighting
62.png,poliwrath,water
620.png,mienshao,fighting
621.png,druddigon,dragon
622.png,golett,ground
623.png,golurk,ground
624.png,pawniard,dark
625.png,bisharp,dark
626.png,bouffalant,normal
627.png,rufflet,normal
628.png,braviary,normal
629.png,vullaby,dark
63.png,abra,psychic
630.png,mandibuzz,dark
631.png,heatmor,fire
632.png,durant,bug
633.png,deino,dark
634.png,zweilous,dark
635.png,hydreigon,dark
636.png,larvesta,bug
637.png,volcarona,bug
638.png,cobalion,steel
639.png,terrakion,rock
64.png,kadabra,psychic
640.png,virizion,grass
643.png,reshiram,dragon
644.png,zekrom,dragon
646-black.png,kyurem-black,dragon
646-white.png,kyurem-white,dragon
646.png,kyurem,dragon
648.png,meloetta-aria,normal
649.png,genesect,bug
65-mega.png,alakazam-mega,psychic
65.png,alakazam,psychic
650.png,chespin,grass
651.png,quilladin,grass
652.png,chesnaught,grass
653.png,fennekin,fire
654.png,braixen,fire
655.png,delphox,fire
656.png,froakie,water
657.png,frogadier,water
658.png,greninja,water
659.png,bunnelby,normal
66.png,machop,fighting
660.png,diggersby,normal
661.png,fletchling,normal
662.png,fletchinder,fire
663.png,talonflame,fire
664.png,scatterbug,bug
665.png,spewpa,bug
666.png,vivillon,bug
667.png,litleo,fire
668.png,pyroar,fire
669.png,flabebe,fairy
67.png,machoke,fighting
670.png,floette,fairy
671.png,florges,fairy
672.png,skiddo,grass
673.png,gogoat,grass
674.png,pancham,fighting
675.png,pangoro,fighting
676.png,furfrou,normal
677.png,espurr,psychic
678.png,meowstic-male,psychic
679.png,honedge,steel
68.png,machamp,fighting
680.png,doublade,steel
681.png,aegislash-shield,steel
682.png,spritzee,fairy
683.png,aromatisse,fairy
684.png,swirlix,fairy
685.png,slurpuff,fairy
686.png,inkay,dark
687.png,malamar,dark
688.png,binacle,rock
689.png,barbaracle,rock
69.png,bellsprout,grass
690.png,skrelp,poison
691.png,dragalge,poison
692.png,clauncher,water
693.png,clawitzer,water
694.png,helioptile,electric
695.png,heliolisk,electric
696.png,tyrunt,rock
697.png,tyrantrum,rock
698.png,amaura,rock
699.png,aurorus,rock
7.png,squirtle,water
70.png,weepinbell,grass
700.png,sylveon,fairy
701.png,hawlucha,fighting
702.png,dedenne,electric
703.png,carbink,rock
704.png,goomy,dragon
705.png,sliggoo,dragon
706.png,goodra,dragon
707.png,klefki,steel
708.png,phantump,ghost
709.png,trevenant,ghost
71.png,victreebel,grass
710.png,pumpkaboo-average,ghost
711.png,gourgeist-average,ghost
712.png,bergmite,ice
713.png,avalugg,ice
714.png,noibat,flying
715.png,noivern,flying
716.png,xerneas,fairy
717.png,yveltal,dark
718.png,zygarde-50,dragon
719-mega.png,diancie-mega,rock
719.png,diancie,rock
72.png,tentacool,water
720-unbound.png,hoopa-unbound,psychic
720.png,hoopa,psychic
721.png,volcanion,fire
73.png,tentacruel,water
74.png,geodude,rock
75.png,graveler,rock
76.png,golem,rock
77.png,ponyta,fire
78.png,rapidash,fire
79.png,slowpoke,water
8.png,wartortle,water
80-mega.png,slowbro-mega,water
80.png,slowbro,water
81.png,magnemite,electric
82.png,magneton,electric
83.png,farfetchd,normal
84.png,doduo,normal
85.png,dodrio,normal
86.png,seel,water
87.png,dewgong,water
88.png,grimer,poison
89.png,muk,poison
9-mega.png,blastoise-mega,water
9.png,blastoise,water
90.png,shellder,water
91.png,cloyster,water
92.png,gastly,ghost
93.png,haunter,ghost
94-mega.png,gengar-mega,ghost
94.png,gengar,ghost
95.png,onix,rock
96.png,drowzee,psychic
97.png,hypno,psychic
98.png,krabby,water
99.png,kingler,water
