ct_health,t_health,ct_money,t_money,time_left,bomb_planted,ct_players_alive,t_players_alive,round_winner_numeric
10.0,0.0,450.0,0.0,7.77,1,1.0,0.0,0
36.0,400.0,2250.0,1500.0,89.95,0,1.0,4.0,0
500.0,400.0,650.0,8200.0,69.96,0,5.0,4.0,1
500.0,400.0,650.0,8200.0,49.96,0,5.0,4.0,1
500.0,400.0,650.0,8200.0,29.96,0,5.0,4.0,1
500.0,497.0,2300.0,13900.0,89.95,0,5.0,5.0,1
200.0,97.0,2050.0,2900.0,69.95,0,2.0,1.0,1
200.0,97.0,2050.0,2900.0,49.95,0,2.0,1.0,1
200.0,208.0,1600.0,1000.0,84.69,0,2.0,3.0,0
13.0,108.0,1650.0,950.0,64.69,0,1.0,2.0,0
13.0,100.0,1950.0,300.0,35.27,1,1.0,1.0,0
321.0,337.0,400.0,1950.0,49.95,0,4.0,4.0,1
315.0,237.0,700.0,1300.0,29.95,0,4.0,3.0,1
408.0,292.0,3250.0,1500.0,83.14,0,5.0,3.0,1
408.0,292.0,3250.0,1500.0,63.14,0,5.0,3.0,1
200.0,163.0,3000.0,7100.0,89.96,0,2.0,3.0,1
108.0,120.0,3600.0,5200.0,25.39,1,2.0,2.0,1
473.0,100.0,8250.0,50.0,28.52,0,5.0,1.0,1
500.0,335.0,15300.0,7350.0,89.96,0,5.0,4.0,1
400.0,186.0,12600.0,6050.0,35.09,1,4.0,3.0,1
257.0,0.0,10500.0,0.0,15.09,1,3.0,0.0,1
400.0,393.0,16000.0,2900.0,69.95,0,4.0,4.0,0
400.0,393.0,16000.0,2900.0,49.95,0,4.0,4.0,0
200.0,366.0,12650.0,3800.0,33.39,1,2.0,4.0,0
200.0,366.0,12650.0,3800.0,13.39,1,2.0,4.0,0
416.0,400.0,1650.0,6900.0,48.47,0,5.0,4.0,0
200.0,254.0,1000.0,8100.0,26.98,1,2.0,4.0,0
200.0,254.0,1000.0,8100.0,6.98,1,2.0,4.0,0
500.0,400.0,150.0,3200.0,89.95,0,5.0,4.0,1
500.0,400.0,150.0,3200.0,69.95,0,5.0,4.0,1
500.0,381.0,900.0,250.0,89.96,0,5.0,4.0,1
400.0,261.0,1050.0,850.0,40.01,1,4.0,3.0,1
500.0,497.0,0.0,850.0,86.65,0,5.0,5.0,0
500.0,497.0,0.0,850.0,66.65,0,5.0,5.0,0
300.0,300.0,300.0,1350.0,35.74,1,3.0,3.0,0
180.0,300.0,300.0,1350.0,15.74,1,3.0,3.0,0
497.0,500.0,450.0,3200.0,89.96,0,5.0,5.0,0
497.0,500.0,450.0,3200.0,69.96,0,5.0,5.0,0
400.0,400.0,400.0,3400.0,49.96,0,4.0,4.0,0
200.0,379.0,300.0,4300.0,28.51,1,2.0,4.0,0
200.0,379.0,300.0,4300.0,8.51,1,2.0,4.0,0
500.0,431.0,7350.0,12900.0,109.96,0,5.0,5.0,0
288.0,331.0,3850.0,11700.0,89.96,0,3.0,4.0,0
263.0,331.0,3850.0,11700.0,69.96,0,3.0,4.0,0
188.0,331.0,2500.0,12000.0,49.96,0,2.0,4.0,0
188.0,331.0,2500.0,12300.0,37.96,1,2.0,4.0,0
188.0,331.0,2500.0,12300.0,17.96,1,2.0,4.0,0
491.0,500.0,15500.0,20350.0,89.96,0,5.0,5.0,0
281.0,438.0,9000.0,20950.0,69.96,0,3.0,5.0,0
181.0,300.0,6300.0,11100.0,37.8,1,2.0,3.0,0
181.0,300.0,6300.0,11100.0,17.8,1,2.0,3.0,0
500.0,494.0,9750.0,19600.0,89.96,0,5.0,5.0,0
153.0,182.0,3800.0,9000.0,69.96,0,2.0,2.0,0
71.0,88.0,900.0,2100.0,37.9,1,1.0,1.0,0
500.0,300.0,1950.0,8850.0,44.33,0,5.0,3.0,0
300.0,264.0,1400.0,9750.0,28.09,1,3.0,3.0,0
100.0,149.0,450.0,7650.0,8.09,1,1.0,2.0,0
429.0,500.0,13800.0,16000.0,105.41,0,5.0,5.0,0
229.0,400.0,7900.0,8650.0,85.41,0,3.0,4.0,0
229.0,400.0,7900.0,8650.0,65.41,0,3.0,4.0,0
129.0,400.0,5450.0,8950.0,45.41,0,2.0,4.0,0
29.0,400.0,2850.0,9250.0,25.41,0,1.0,4.0,0
29.0,400.0,2850.0,9550.0,20.27,1,1.0,4.0,0
29.0,400.0,2850.0,9550.0,0.27,1,1.0,4.0,0
270.0,200.0,5800.0,8550.0,69.96,0,3.0,2.0,1
270.0,200.0,5800.0,8550.0,49.96,0,3.0,2.0,1
104.0,100.0,4600.0,3750.0,29.96,0,2.0,1.0,1
104.0,100.0,4600.0,3750.0,9.96,0,2.0,1.0,1
400.0,373.0,1850.0,6900.0,50.34,0,4.0,5.0,0
174.0,349.0,1850.0,7800.0,39.92,1,2.0,5.0,0
174.0,249.0,1950.0,4550.0,19.92,1,2.0,4.0,0
400.0,500.0,10450.0,8300.0,89.95,0,4.0,5.0,0
400.0,400.0,10550.0,6350.0,69.95,0,4.0,4.0,0
400.0,400.0,10550.0,6350.0,49.95,0,4.0,4.0,0
400.0,400.0,10550.0,6350.0,29.95,0,4.0,4.0,0
300.0,308.0,8350.0,6950.0,23.85,1,3.0,4.0,0
200.0,300.0,4950.0,5200.0,3.85,1,2.0,3.0,0
400.0,495.0,8950.0,13900.0,89.96,0,4.0,5.0,0
100.0,297.0,3850.0,11950.0,69.96,0,1.0,4.0,0
273.0,120.0,450.0,16550.0,89.95,0,3.0,2.0,1
273.0,31.0,450.0,16850.0,30.12,1,3.0,2.0,1
273.0,0.0,1050.0,0.0,10.12,1,3.0,0.0,1
481.0,500.0,5050.0,10250.0,109.95,0,5.0,5.0,1
481.0,420.0,5050.0,10250.0,89.95,0,5.0,5.0,1
481.0,420.0,5050.0,10250.0,69.95,0,5.0,5.0,1
252.0,82.0,2850.0,2750.0,49.95,0,3.0,1.0,1
181.0,82.0,1850.0,3050.0,29.95,0,2.0,1.0,1
81.0,0.0,2000.0,0.0,23.65,1,1.0,0.0,1
500.0,370.0,1650.0,1950.0,89.95,0,5.0,4.0,0
500.0,370.0,1650.0,1950.0,69.95,0,5.0,4.0,0
139.0,170.0,1250.0,2650.0,32.98,1,2.0,2.0,0
299.0,500.0,300.0,1550.0,37.47,1,3.0,5.0,0
400.0,308.0,300.0,750.0,89.95,0,4.0,5.0,0
200.0,205.0,100.0,1150.0,69.95,0,2.0,4.0,0
200.0,166.0,100.0,1450.0,31.51,1,2.0,4.0,0
200.0,166.0,100.0,1450.0,11.51,1,2.0,4.0,0
492.0,400.0,12600.0,8500.0,89.97,0,5.0,4.0,0
492.0,400.0,12600.0,8500.0,69.97,0,5.0,4.0,0
159.0,180.0,5250.0,9700.0,29.12,1,2.0,4.0,0
159.0,180.0,5250.0,9700.0,9.12,1,2.0,4.0,0
500.0,392.0,2800.0,15050.0,49.96,0,5.0,4.0,1
500.0,292.0,2900.0,10200.0,29.96,0,5.0,3.0,1
400.0,192.0,2650.0,6600.0,36.97,1,4.0,2.0,1
287.0,80.0,650.0,950.0,16.97,1,3.0,1.0,1
479.0,500.0,5300.0,2950.0,89.95,0,5.0,5.0,0
479.0,500.0,5300.0,2950.0,69.95,0,5.0,5.0,0
279.0,367.0,5250.0,2550.0,39.8,1,3.0,4.0,0
179.0,367.0,3650.0,2850.0,19.8,1,2.0,4.0,0
300.0,500.0,750.0,14050.0,29.96,0,3.0,5.0,0
100.0,400.0,350.0,11750.0,39.98,1,1.0,4.0,0
318.0,400.0,9850.0,18200.0,49.95,0,4.0,4.0,0
99.0,207.0,2650.0,17650.0,29.95,0,1.0,3.0,0
500.0,381.0,1150.0,21300.0,86.98,0,5.0,4.0,0
243.0,234.0,1050.0,17350.0,66.98,0,3.0,3.0,0
242.0,234.0,1050.0,17350.0,46.98,0,3.0,3.0,0
400.0,500.0,9650.0,32050.0,89.95,0,4.0,5.0,0
400.0,461.0,9650.0,32050.0,69.95,0,4.0,5.0,0
400.0,461.0,9650.0,32050.0,49.95,0,4.0,5.0,0
500.0,447.0,1100.0,37100.0,69.96,0,5.0,5.0,1
500.0,398.0,1100.0,37100.0,49.96,0,5.0,5.0,1
500.0,298.0,1400.0,31700.0,29.96,0,5.0,4.0,1
446.0,200.0,2000.0,13400.0,36.29,1,5.0,2.0,1
311.0,23.0,1450.0,9550.0,16.29,1,4.0,1.0,1
500.0,465.0,8050.0,21550.0,89.95,0,5.0,5.0,0
500.0,459.0,8050.0,21550.0,69.95,0,5.0,5.0,0
500.0,420.0,8050.0,21550.0,49.95,0,5.0,5.0,0
200.0,100.0,4300.0,4650.0,29.95,0,2.0,1.0,0
100.0,86.0,1750.0,4950.0,9.95,0,1.0,1.0,0
471.0,246.0,800.0,13850.0,42.77,0,5.0,3.0,1
500.0,499.0,5150.0,1650.0,89.95,0,5.0,5.0,1
442.0,238.0,5750.0,900.0,69.95,0,5.0,3.0,1
400.0,136.0,5100.0,1000.0,49.96,0,4.0,2.0,1
500.0,400.0,11750.0,150.0,100.5,0,5.0,4.0,1
453.0,300.0,12050.0,150.0,80.5,0,5.0,3.0,1
453.0,200.0,12150.0,50.0,60.5,0,5.0,2.0,1
486.0,382.0,1000.0,550.0,97.78,0,5.0,4.0,0
200.0,334.0,300.0,1450.0,77.78,0,2.0,4.0,0
400.0,330.0,1000.0,550.0,94.96,0,4.0,4.0,0
100.0,53.0,300.0,1300.0,74.96,0,1.0,2.0,0
100.0,21.0,300.0,1600.0,20.66,1,1.0,2.0,0
100.0,5.0,600.0,950.0,0.66,1,1.0,1.0,0
500.0,412.0,9850.0,3900.0,94.95,0,5.0,5.0,1
500.0,342.0,9850.0,3900.0,74.95,0,5.0,5.0,1
381.0,130.0,8350.0,2650.0,54.95,0,4.0,2.0,1
281.0,100.0,5550.0,2000.0,34.95,0,3.0,1.0,1
300.0,260.0,10400.0,700.0,94.95,0,3.0,5.0,0
173.0,259.0,7250.0,900.0,23.01,1,2.0,4.0,0
100.0,172.0,4300.0,1400.0,3.01,1,1.0,3.0,0
406.0,100.0,2200.0,1800.0,89.73,0,5.0,1.0,1
500.0,209.0,15300.0,7050.0,94.96,0,5.0,3.0,1
266.0,324.0,19200.0,1150.0,34.96,0,3.0,4.0,0
50.0,139.0,8050.0,1100.0,26.72,1,1.0,3.0,0
500.0,385.0,7550.0,5350.0,94.95,0,5.0,4.0,1
500.0,400.0,11350.0,11350.0,94.95,0,5.0,4.0,1
500.0,295.0,11450.0,7850.0,74.95,0,5.0,3.0,1
300.0,274.0,17500.0,1400.0,74.96,0,3.0,3.0,1
360.0,392.0,21100.0,8800.0,94.95,0,4.0,4.0,1
300.0,351.0,18600.0,2150.0,68.85,0,3.0,4.0,0
273.0,251.0,18900.0,1500.0,48.85,0,3.0,3.0,0
200.0,251.0,11650.0,1900.0,24.14,1,2.0,3.0,0
196.0,251.0,11650.0,1900.0,4.14,1,2.0,3.0,0
500.0,452.0,16250.0,6950.0,94.96,0,5.0,5.0,0
400.0,152.0,13000.0,1950.0,74.96,0,4.0,2.0,0
300.0,152.0,9200.0,2250.0,54.96,0,3.0,2.0,0
73.0,56.0,3150.0,3150.0,29.54,1,1.0,2.0,0
500.0,497.0,500.0,8300.0,74.95,0,5.0,5.0,1
400.0,335.0,450.0,8300.0,54.95,0,4.0,4.0,1
500.0,400.0,3200.0,400.0,74.95,0,5.0,4.0,1
500.0,400.0,3200.0,400.0,54.95,0,5.0,4.0,1
500.0,400.0,3200.0,400.0,34.95,0,5.0,4.0,1
142.0,29.0,3100.0,1200.0,26.88,1,2.0,1.0,1
500.0,400.0,700.0,550.0,96.56,0,5.0,4.0,1
276.0,191.0,1050.0,550.0,76.56,0,3.0,2.0,1
243.0,0.0,1650.0,0.0,33.3,1,3.0,0.0,1
500.0,494.0,450.0,8850.0,94.95,0,5.0,5.0,1
500.0,413.0,450.0,8850.0,74.95,0,5.0,5.0,1
455.0,294.0,1650.0,6750.0,54.95,0,5.0,3.0,1
455.0,294.0,1650.0,6750.0,34.95,0,5.0,3.0,1
471.0,500.0,9300.0,450.0,94.95,0,5.0,5.0,1
471.0,500.0,9300.0,450.0,74.95,0,5.0,5.0,1
458.0,239.0,9600.0,300.0,54.95,0,5.0,4.0,1
376.0,0.0,10900.0,0.0,29.34,1,5.0,0.0,1
400.0,300.0,17850.0,6800.0,89.71,0,4.0,3.0,1
400.0,172.0,18150.0,4350.0,69.71,0,4.0,2.0,1
400.0,172.0,18150.0,4350.0,49.71,0,4.0,2.0,1
400.0,100.0,18450.0,2800.0,29.71,0,4.0,1.0,1
361.0,0.0,18750.0,0.0,28.06,1,4.0,0.0,1
481.0,500.0,31550.0,6300.0,94.95,0,5.0,5.0,0
481.0,500.0,31550.0,6300.0,74.95,0,5.0,5.0,0
381.0,398.0,25700.0,6600.0,54.95,0,4.0,5.0,0
125.0,298.0,11900.0,6150.0,34.95,0,2.0,4.0,0
498.0,400.0,8650.0,13350.0,94.95,0,5.0,4.0,1
498.0,363.0,8650.0,13350.0,74.95,0,5.0,4.0,1
470.0,338.0,8650.0,13350.0,54.95,0,5.0,4.0,1
205.0,113.0,5300.0,9950.0,34.95,0,3.0,2.0,1
432.0,449.0,6000.0,4100.0,94.95,0,5.0,5.0,0
300.0,449.0,5300.0,4700.0,74.95,0,3.0,5.0,0
200.0,449.0,4000.0,4800.0,54.95,0,2.0,5.0,0
200.0,449.0,4000.0,5100.0,39.98,1,2.0,5.0,0
200.0,449.0,4000.0,5100.0,19.98,1,2.0,5.0,0
400.0,500.0,650.0,18300.0,90.72,0,4.0,5.0,0
100.0,434.0,300.0,19200.0,70.72,0,1.0,5.0,0
223.0,400.0,6350.0,25600.0,94.95,0,3.0,4.0,0
30.0,200.0,2550.0,12850.0,26.94,1,1.0,2.0,0
363.0,453.0,100.0,35600.0,94.95,0,4.0,5.0,1
249.0,191.0,1000.0,13550.0,74.95,0,4.0,2.0,1
244.0,96.0,1300.0,4650.0,54.95,0,4.0,1.0,1
226.0,38.0,1000.0,4950.0,34.95,0,3.0,1.0,1
445.0,500.0,4000.0,18200.0,94.95,0,5.0,5.0,0
242.0,292.0,1600.0,12150.0,38.5,1,3.0,3.0,0
493.0,500.0,13300.0,19250.0,94.95,0,5.0,5.0,0
400.0,420.0,10650.0,19850.0,39.4,1,4.0,5.0,0
395.0,420.0,10650.0,19850.0,19.4,1,4.0,5.0,0
300.0,278.0,500.0,21400.0,90.08,0,3.0,3.0,0
100.0,178.0,100.0,15100.0,36.43,1,1.0,2.0,0
500.0,400.0,550.0,350.0,74.92,0,5.0,4.0,1
500.0,497.0,1500.0,10000.0,94.95,0,5.0,5.0,1
500.0,497.0,1500.0,10000.0,74.95,0,5.0,5.0,1
500.0,497.0,1500.0,10000.0,54.95,0,5.0,5.0,1
500.0,479.0,10700.0,200.0,74.95,0,5.0,5.0,1
375.0,381.0,8050.0,100.0,54.95,0,4.0,4.0,1
375.0,381.0,8050.0,100.0,34.95,0,4.0,4.0,1
348.0,257.0,8350.0,100.0,14.95,0,4.0,3.0,1
478.0,486.0,9050.0,8150.0,54.95,0,5.0,5.0,1
478.0,486.0,9050.0,8150.0,34.95,0,5.0,5.0,1
500.0,498.0,15750.0,1450.0,74.95,0,5.0,5.0,0
400.0,498.0,13700.0,1750.0,54.95,0,4.0,5.0,0
400.0,452.0,13700.0,1750.0,34.95,0,4.0,5.0,0
300.0,398.0,11250.0,2050.0,14.95,0,3.0,5.0,0
300.0,398.0,11250.0,2350.0,22.06,1,3.0,5.0,0
300.0,398.0,11250.0,2350.0,2.06,1,3.0,5.0,0
493.0,500.0,9100.0,14550.0,91.39,0,5.0,5.0,0
323.0,184.0,8550.0,9050.0,71.39,0,4.0,3.0,0
94.0,92.0,1650.0,10250.0,32.17,1,1.0,3.0,0
94.0,92.0,1650.0,10250.0,12.17,1,1.0,3.0,0
456.0,356.0,14700.0,19350.0,94.95,0,5.0,4.0,1
456.0,356.0,14700.0,19350.0,74.95,0,5.0,4.0,1
456.0,356.0,14700.0,19350.0,54.95,0,5.0,4.0,1
456.0,356.0,14700.0,19350.0,34.95,0,5.0,4.0,1
356.0,85.0,12900.0,12050.0,14.95,0,4.0,2.0,1
436.0,400.0,10900.0,7500.0,94.95,0,5.0,4.0,1
436.0,400.0,10900.0,7500.0,74.95,0,5.0,4.0,1
436.0,400.0,10900.0,7500.0,54.95,0,5.0,4.0,1
300.0,169.0,4050.0,4400.0,34.95,0,3.0,2.0,1
272.0,100.0,4350.0,250.0,14.95,0,3.0,1.0,1
184.0,242.0,5850.0,9250.0,39.12,1,2.0,4.0,0
184.0,242.0,5850.0,9250.0,19.12,1,2.0,4.0,0
479.0,357.0,3350.0,16500.0,94.95,0,5.0,5.0,1
479.0,357.0,3350.0,16500.0,74.95,0,5.0,5.0,1
479.0,357.0,3350.0,16500.0,54.95,0,5.0,5.0,1
479.0,357.0,3350.0,16500.0,34.95,0,5.0,5.0,1
465.0,357.0,3350.0,16500.0,14.95,0,5.0,5.0,1
500.0,400.0,6150.0,5000.0,99.23,0,5.0,4.0,0
470.0,339.0,6150.0,5000.0,79.23,0,5.0,4.0,0
470.0,339.0,6150.0,5000.0,59.23,0,5.0,4.0,0
470.0,266.0,6150.0,5000.0,39.23,0,5.0,4.0,0
270.0,132.0,3150.0,3950.0,33.84,1,3.0,3.0,0
270.0,132.0,3150.0,3950.0,13.84,1,3.0,3.0,0
498.0,449.0,1650.0,8100.0,94.95,0,5.0,5.0,0
498.0,449.0,1650.0,8100.0,74.95,0,5.0,5.0,0
498.0,449.0,1650.0,8100.0,54.95,0,5.0,5.0,0
498.0,449.0,1650.0,8100.0,34.95,0,5.0,5.0,0
198.0,100.0,1450.0,2500.0,14.95,0,2.0,1.0,0
198.0,100.0,1450.0,2800.0,26.45,1,2.0,1.0,0
228.0,400.0,7450.0,5700.0,25.78,1,3.0,4.0,0
197.0,300.0,7750.0,4450.0,5.78,1,3.0,3.0,0
300.0,254.0,2100.0,6950.0,39.87,1,3.0,3.0,0
100.0,54.0,2100.0,4550.0,19.87,1,1.0,1.0,0
200.0,427.0,100.0,9000.0,74.95,0,2.0,5.0,0
100.0,366.0,150.0,7000.0,35.77,1,1.0,4.0,0
500.0,400.0,1000.0,500.0,79.41,0,5.0,4.0,1
500.0,400.0,1000.0,500.0,59.41,0,5.0,4.0,1
500.0,400.0,1000.0,500.0,39.41,0,5.0,4.0,1
357.0,0.0,2050.0,0.0,20.91,1,4.0,0.0,1
495.0,500.0,1050.0,650.0,105.91,0,5.0,5.0,0
495.0,423.0,1050.0,650.0,85.91,0,5.0,5.0,0
264.0,250.0,1050.0,900.0,65.91,0,3.0,4.0,0
238.0,241.0,1050.0,1200.0,24.48,1,3.0,4.0,0
238.0,241.0,1050.0,1200.0,4.48,1,3.0,4.0,0
454.0,500.0,1700.0,9450.0,94.95,0,5.0,5.0,0
454.0,500.0,1700.0,9450.0,74.95,0,5.0,5.0,0
200.0,403.0,1300.0,10350.0,54.95,0,2.0,5.0,0
200.0,403.0,1300.0,10650.0,21.08,1,2.0,5.0,0
100.0,332.0,0.0,10950.0,1.08,1,1.0,5.0,0
400.0,500.0,8250.0,21650.0,94.95,0,4.0,5.0,0
100.0,389.0,1900.0,22550.0,74.95,0,1.0,5.0,0
100.0,389.0,1900.0,22850.0,22.55,1,1.0,5.0,0
100.0,389.0,1900.0,22850.0,2.55,1,1.0,5.0,0
483.0,485.0,13900.0,35650.0,94.95,0,5.0,5.0,0
262.0,212.0,8150.0,22450.0,74.95,0,3.0,3.0,0
183.0,212.0,5450.0,23050.0,37.98,1,2.0,3.0,0
399.0,443.0,450.0,41200.0,94.95,0,4.0,5.0,0
99.0,327.0,0.0,34700.0,74.95,0,1.0,4.0,0
99.0,228.0,100.0,24850.0,25.48,1,1.0,3.0,0
472.0,491.0,10950.0,45800.0,74.95,0,5.0,5.0,0
200.0,391.0,3750.0,40950.0,54.95,0,2.0,4.0,0
200.0,391.0,3750.0,41250.0,20.44,1,2.0,4.0,0
100.0,391.0,1950.0,41550.0,0.44,1,1.0,4.0,0
500.0,491.0,1000.0,52100.0,104.96,0,5.0,5.0,0
500.0,491.0,1000.0,52100.0,84.96,0,5.0,5.0,0
500.0,489.0,1000.0,52100.0,64.96,0,5.0,5.0,0
270.0,396.0,550.0,48250.0,44.96,0,3.0,4.0,0
170.0,309.0,450.0,48850.0,24.9,1,2.0,4.0,0
141.0,169.0,750.0,35200.0,4.9,1,2.0,3.0,0
